match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101787,2026-03-04,9,Liga MX Clausura 2026,Pachuca,Necaxa,2,1,8.0,8.0,2.0,5.0,0.0,0.0,16.0,12.0,9.0,4.0,1.27,0.49,16.0,7.0,0.0
5101788,2026-03-04,9,Liga MX Clausura 2026,Santos Laguna,Cruz Azul,1,2,2.0,4.0,4.0,2.0,0.0,0.0,6.0,16.0,2.0,7.0,0.54,1.57,6.0,6.0,0.0
5101789,2026-03-04,9,Liga MX Clausura 2026,Atletico de San Luis,Mazatlan FC,4,1,7.0,0.0,3.0,3.0,0.0,0.0,15.0,10.0,9.0,4.0,1.27,0.36,7.0,6.0,0.0
5101790,2026-03-04,9,Liga MX Clausura 2026,Pumas,Toluca,2,3,2.0,14.0,0.0,1.0,0.0,0.0,13.0,25.0,7.0,8.0,2.71,3.32,16.0,1.0,0.0
5101791,2026-03-05,9,Liga MX Clausura 2026,Monterrey,Queretaro FC,4,0,6.0,4.0,1.0,3.0,0.0,1.0,17.0,6.0,7.0,3.0,1.98,0.32,10.0,4.0,1.0
5101792,2026-03-05,9,Liga MX Clausura 2026,Puebla,Tigres,3,1,2.0,7.0,0.0,1.0,0.0,0.0,19.0,18.0,12.0,4.0,1.82,1.95,9.0,1.0,0.0
5101793,2026-03-05,9,Liga MX Clausura 2026,Atlas,Tijuana,2,1,2.0,4.0,2.0,3.0,1.0,0.0,12.0,17.0,4.0,4.0,0.89,1.58,6.0,5.0,1.0
5101794,2026-03-05,9,Liga MX Clausura 2026,CF America,FC Juarez,1,2,1.0,3.0,5.0,4.0,0.0,0.0,14.0,11.0,5.0,4.0,1.33,2.48,4.0,9.0,0.0
5101795,2026-03-07,10,Liga MX Clausura 2026,Mazatlan FC,Leon,4,2,7.0,4.0,2.0,2.0,0.0,0.0,19.0,18.0,10.0,7.0,2.16,1.15,11.0,4.0,0.0
5101796,2026-03-07,10,Liga MX Clausura 2026,Necaxa,Pumas,0,1,4.0,7.0,2.0,2.0,0.0,0.0,11.0,20.0,2.0,5.0,0.38,2.21,11.0,4.0,0.0
5101797,2026-03-07,10,Liga MX Clausura 2026,Cruz Azul,Atletico de San Luis,3,0,10.0,1.0,2.0,2.0,0.0,1.0,28.0,10.0,11.0,1.0,3.25,0.84,11.0,4.0,1.0
5101801,2026-03-07,10,Liga MX Clausura 2026,Queretaro FC,CF America,1,2,9.0,6.0,2.0,1.0,0.0,0.0,16.0,19.0,2.0,7.0,1.51,2.21,15.0,3.0,0.0
5101799,2026-03-08,10,Liga MX Clausura 2026,Atlas,Chivas,1,2,2.0,7.0,4.0,3.0,0.0,0.0,7.0,12.0,3.0,4.0,0.27,2.61,9.0,7.0,0.0
5101798,2026-03-08,10,Liga MX Clausura 2026,Pachuca,Puebla,2,1,2.0,4.0,4.0,4.0,1.0,0.0,20.0,11.0,4.0,6.0,1.35,0.49,6.0,8.0,1.0
