fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2025-03-16,premier,Premier League,England,2024/2025,Leicester,Man United,0,3,4.21,3.86,1.85,1.8,2.0
2025-04-01,premier,Premier League,England,2024/2025,Arsenal,Fulham,2,1,1.5,4.21,7.79,2.1,1.73
2025-04-01,premier,Premier League,England,2024/2025,Wolves,West Ham,1,0,2.62,3.25,2.96,2.2,1.67
2025-04-01,premier,Premier League,England,2024/2025,Nott'm Forest,Man United,1,0,2.36,3.44,3.19,1.95,1.95
2025-04-02,premier,Premier League,England,2024/2025,Bournemouth,Ipswich,1,2,1.39,5.33,7.75,1.53,2.5
2025-04-02,premier,Premier League,England,2024/2025,Brighton,Aston Villa,0,3,2.11,3.85,3.33,1.62,2.3
2025-04-02,premier,Premier League,England,2024/2025,Man City,Leicester,2,0,1.2,8.18,11.84,1.4,3.0
2025-04-02,premier,Premier League,England,2024/2025,Newcastle,Brentford,2,1,1.74,4.34,4.31,1.44,2.75
2025-04-02,premier,Premier League,England,2024/2025,Southampton,Crystal Palace,1,1,5.72,4.05,1.63,1.8,2.0
2025-04-02,premier,Premier League,England,2024/2025,Liverpool,Everton,1,0,1.36,5.19,9.2,1.73,2.1
2025-04-03,premier,Premier League,England,2024/2025,Chelsea,Tottenham,1,0,1.66,4.58,4.59,1.4,3.0
2025-04-05,premier,Premier League,England,2024/2025,Everton,Arsenal,1,1,5.3,3.39,1.81,2.38,1.57
2025-04-05,premier,Premier League,England,2024/2025,Crystal Palace,Brighton,2,1,2.5,3.46,2.9,1.8,2.0
2025-04-05,premier,Premier League,England,2024/2025,Ipswich,Wolves,1,2,2.78,3.3,2.71,2.1,1.73
2025-04-05,premier,Premier League,England,2024/2025,West Ham,Bournemouth,2,2,3.03,3.53,2.38,1.8,2.0
2025-04-05,premier,Premier League,England,2024/2025,Aston Villa,Nott'm Forest,2,1,2.0,3.69,3.8,1.8,2.0
2025-04-06,premier,Premier League,England,2024/2025,Brentford,Chelsea,0,0,3.26,3.8,2.16,1.53,2.5
2025-04-06,premier,Premier League,England,2024/2025,Fulham,Liverpool,3,2,4.27,3.75,1.87,1.8,2.0
2025-04-06,premier,Premier League,England,2024/2025,Tottenham,Southampton,3,1,1.39,5.42,7.33,1.4,3.0
2025-04-06,premier,Premier League,England,2024/2025,Man United,Man City,0,0,3.39,3.66,2.15,1.67,2.2
2025-04-07,premier,Premier League,England,2024/2025,Leicester,Newcastle,0,3,6.61,4.47,1.51,1.62,2.3
2025-04-12,premier,Premier League,England,2024/2025,Man City,Crystal Palace,5,2,1.5,4.81,6.12,1.53,2.5
