equipo,elo,fecha,liga
Levante,1402.78,2022-02-13,laliga
Betis,1538.28,2022-02-13,laliga
Sociedad,1525.29,2022-02-13,laliga
Granada,1467.35,2022-02-13,laliga
Espanol,1475.3,2022-02-13,laliga
Barcelona,1547.11,2022-02-13,laliga
Mallorca,1474.48,2022-02-14,laliga
Ath Bilbao,1516.47,2022-02-14,laliga
Ath Madrid,1517.7,2022-02-16,laliga
Levante,1417.81,2022-02-16,laliga
Elche,1492.16,2022-02-18,laliga
Vallecano,1473.2,2022-02-18,laliga
Real Madrid,1595.99,2022-02-19,laliga
Alaves,1434.12,2022-02-19,laliga
Cadiz,1443.81,2022-02-19,laliga
Getafe,1483.38,2022-02-19,laliga
Osasuna,1488.74,2022-02-19,laliga
Ath Madrid,1529.23,2022-02-19,laliga
Granada,1456.88,2022-02-19,laliga
Villarreal,1533.64,2022-02-19,laliga
Espanol,1475.96,2022-02-20,laliga
Sevilla,1578.13,2022-02-20,laliga
Valencia,1478.69,2022-02-20,laliga
Barcelona,1557.53,2022-02-20,laliga
Betis,1544.23,2022-02-20,laliga
Mallorca,1468.52,2022-02-20,laliga
Ath Bilbao,1524.29,2022-02-20,laliga
Sociedad,1517.47,2022-02-20,laliga
Celta,1501.81,2022-02-21,laliga
Levante,1422.22,2022-02-21,laliga
Levante,1431.78,2022-02-25,laliga
Elche,1482.6,2022-02-25,laliga
Mallorca,1456.72,2022-02-26,laliga
Valencia,1490.49,2022-02-26,laliga
Getafe,1479.87,2022-02-26,laliga
Alaves,1437.62,2022-02-26,laliga
Vallecano,1464.56,2022-02-26,laliga
Real Madrid,1604.63,2022-02-26,laliga
Ath Madrid,1536.12,2022-02-26,laliga
Celta,1494.91,2022-02-26,laliga
Sociedad,1524.34,2022-02-27,laliga
Osasuna,1481.87,2022-02-27,laliga
Barcelona,1564.28,2022-02-27,laliga
Ath Bilbao,1517.53,2022-02-27,laliga
Villarreal,1539.79,2022-02-27,laliga
Espanol,1469.82,2022-02-27,laliga
Sevilla,1584.87,2022-02-27,laliga
Betis,1537.49,2022-02-27,laliga
Granada,1454.3,2022-02-28,laliga
Cadiz,1446.39,2022-02-28,laliga
Mallorca,1446.48,2022-03-02,laliga
Sociedad,1534.58,2022-03-02,laliga
Alaves,1439.52,2022-03-04,laliga
Sevilla,1582.98,2022-03-04,laliga
Valencia,1497.21,2022-03-05,laliga
Granada,1447.58,2022-03-05,laliga
Real Madrid,1610.51,2022-03-05,laliga
Sociedad,1528.7,2022-03-05,laliga
Osasuna,1491.15,2022-03-05,laliga
Villarreal,1530.5,2022-03-05,laliga
Espanol,1477.76,2022-03-05,laliga
Getafe,1471.93,2022-03-05,laliga
Cadiz,1454.57,2022-03-06,laliga
